 spain.477.o1: "NO-body expects the Spanish Inquisition!"
 spain.476.t: "Spain turns to Fascism again"
 spain.476.d: "Today, the Spanish fascist rebels forcibly entered Parliament. With the popular support, the Monarchy was dissolved and a new fascist government replaced it. What will happen in Spain now? Will the new Fascist government follow the dream of imperial rebirth by force, or is there a possible diplomatic focus?"
 spain.476.o1: "The future is bright for Spain."
 spain.476.o2: "A fascist state outside the European Union? This is a collusion!"
 spain.476.o3: "Only future will tell..."
 spain.2.t: "Fuero del Trabajo"
 spain.2.d: "It is an interventionist law that regulates labor and economic life, specifically in matters related to working hours, vacations, minimum wages and prices. Such concessions are nothing more than regulations of economic life and are subordinated to the interest of the nation, so that even recognizing private initiative, the State could replace it twice: when it failed or when the public interest demanded it. It laid the foundations of Social Security while promising two novel concepts: free the married woman from the workshop and the factory and to facilitate the ownership of the home, the cultivated land and also the work tool. It establishes the foundations of the Vertical Syndicate that groups both entrepreneurs and employees: technicians and workers. Creates the Labor Magistrature."
 spain.2.o1: "Homeland, Bread and Justice"
 spain.3.t: "National Institute of Industry"
 spain.3.d: "Article 1 of its founding law: «To propel and finance, in the service of the Nation, the creation and resurgence of our industries, especially those that are proposed as the main purpose of solving the problems imposed by the demands of the defense Of the country or that are directed to the development of our economic autarky»."
 spain.3.o1: "The Industry of Spain"
 spain.4.t: "Military Penitentiary Colonies"
 spain.4.d: "Coordinated by the so-called Military Penitentiary Colonies Service (SCPM), it is constituted as part of the instruments of repression. They end up in these concentration camps from political dissidents, homosexuals and ordinary prisoners. As in many other concentration camps, the prisoners are ranked in such a way that violent common prisoners (therefore without political or ideological motivations) are on a step higher than most of the prisoners there, working as watchmen of the latter. The fields are characterized by the labor exploitation of the prisoners, organized in battalions of workers."
 spain.4.o1: "Homeland, Bread and Justice"
 spain.5.t: "National Information and Research Service"
 spain.5.d: "The National Information and Research Service is an intelligence service belonging to the Spanish Falange and JONS party that operates as a kind of police force, with the mission of monitoring opponents and making personal reports. The Falange Information Service is also charged with investigating the past of the candidates for the Vertical Syndicate election and overseeing the electoral process itself."
 spain.5.o1: "¡Arriba España!"
 spain.6.t: "Frente de Juventudes"
 spain.6.d: "The Youth Front is a section of the political party Falange Española Tradicionalista and of the JONS for the framing and political indoctrination of the young Spaniards. The aims of the Youth Front are clearly set out in its Founding Law, and are addressed to the whole of the Spanish youth, both voluntarily affiliated, as, and here lies the uniqueness of the Front and its influence on Spanish society, the unaffiliated , Which are called "framed" and are divided into "schoolchildren" (of all educational levels), "apprentices" (workers), and "rural" (peasants). Volunteer youths formed Volunteer Phalanges, which are organized into three groups or "legions": Arrows (10 to 13 years), Cadets (14 to 16 years) and Guides (17 to 20 years). The basic unit is the squadron, and the commandos are denominated squadron, phalanx, centuria and legion. The command of the FF.VV. Of the province corresponded to the provincial assistant. As more outstanding activities of the FF.V.V. Stand out the homes, camps, marches and Mountain Schools. The basic human support of the Youth Front is constituted by the Special Corps of Instructional Officers trained in the "José Antonio" Mandos Academy in Madrid, with degrees in Physical Education, Civic-Social Formation and Camps."
 spain.6.o1: "Snowy mountains"
 spain.7.t: "Sección Femenina"
 spain.7.d: "The Women's Section was officially organized on July 12, 1934, as a female branch of the Spanish Falange of the JONS party. The Falange had been founded a year earlier by his brother Jose Antonio Primo de Rivera, who placed his sister Pilar in front of the Women's Section. During the Second Spanish Republic, female members of the Women's Section carried out tasks in support of the male militancy of the party, especially visits to party prisoners and their families, as well as liaison between prisoners and the street (messages, slogans, etc.). The organization had about 2500 members by July 1936. The ideology of the Women's Section was marked by Jose Antonio Primo de Rivera, "true feminism should not consist in wanting for women the functions that are now considered superior, but in surrounding each A time of greater human and social dignity to the feminine functions ". The ultimate aim of the Women's Section was to disseminate in the social imaginary the figure of the woman as the perfect angel of the home, and fundamental pillar of the family and traditional values."
 spain.7.o1: "¡Arriba España!"
